"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",89.25006,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",92.19875,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",93.82401,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.12259,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.51405,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.277,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.2505,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.2241,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.919,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",107.8245,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1987","1987","IDX","Index","0","Units","2015_100","2015=100",43.13908,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1988","1988","IDX","Index","0","Units","2015_100","2015=100",46.25029,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1989","1989","IDX","Index","0","Units","2015_100","2015=100",49.75621,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",53.355,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",55.11957,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",55.65359,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",56.62874,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",57.74321,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",60.39006,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",61.99211,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",62.13141,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",62.66543,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",63.54771,,
